C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2026/09/04,03:55:33,0000000535968557,P5MIN,0000000535968554
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDBES1,"2026/09/04 04:10:00",-20.25,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDBES1,"2026/09/04 04:15:00",-21.59,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDBES1,"2026/09/04 04:20:00",-20.5,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDBES1,"2026/09/04 04:25:00",-20.84,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDBES1,"2026/09/04 04:30:00",-22.54,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDBES1,"2026/09/04 04:35:00",-10.37,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDBES1,"2026/09/04 04:40:00",-10.9,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDBES1,"2026/09/04 04:45:00",-26.86,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDBES1,"2026/09/04 04:50:00",-31.25,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDBES1,"2026/09/04 04:55:00",-31.75,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDSF01,"2026/09/04 04:00:00",-58.72,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDSF01,"2026/09/04 04:05:00",-27.48,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDSF01,"2026/09/04 04:10:00",-20.25,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDSF01,"2026/09/04 04:15:00",-21.59,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDSF01,"2026/09/04 04:20:00",-20.5,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDSF01,"2026/09/04 04:25:00",-20.84,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDSF01,"2026/09/04 04:30:00",-22.54,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDSF01,"2026/09/04 04:35:00",-10.37,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDSF01,"2026/09/04 04:40:00",-10.9,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDSF01,"2026/09/04 04:45:00",-26.86,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDSF01,"2026/09/04 04:50:00",-31.25,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",BRDDSF01,"2026/09/04 04:55:00",-31.75,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_1,"2026/09/04 04:00:00",-48.71,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_1,"2026/09/04 04:05:00",-22.79,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_1,"2026/09/04 04:10:00",-16.8,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_1,"2026/09/04 04:15:00",-17.91,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_1,"2026/09/04 04:20:00",-17.01,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_1,"2026/09/04 04:25:00",-17.29,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_1,"2026/09/04 04:30:00",-18.7,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_1,"2026/09/04 04:35:00",-8.6,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_1,"2026/09/04 04:40:00",-9.04,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_1,"2026/09/04 04:45:00",-22.28,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_1,"2026/09/04 04:50:00",-25.92,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_1,"2026/09/04 04:55:00",-26.34,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_2,"2026/09/04 04:00:00",-48.71,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_2,"2026/09/04 04:05:00",-22.79,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_2,"2026/09/04 04:10:00",-16.8,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_2,"2026/09/04 04:15:00",-17.91,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_2,"2026/09/04 04:20:00",-17.01,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_2,"2026/09/04 04:25:00",-17.29,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_2,"2026/09/04 04:30:00",-18.7,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_2,"2026/09/04 04:35:00",-8.6,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_2,"2026/09/04 04:40:00",-9.04,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_2,"2026/09/04 04:45:00",-22.28,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_2,"2026/09/04 04:50:00",-25.92,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CALL_B_2,"2026/09/04 04:55:00",-26.34,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CHILDSF1,"2026/09/04 04:00:00",29.93,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CHILDSF1,"2026/09/04 04:05:00",14,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CHILDSF1,"2026/09/04 04:10:00",10.32,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CHILDSF1,"2026/09/04 04:15:00",11,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CHILDSF1,"2026/09/04 04:20:00",10.45,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CHILDSF1,"2026/09/04 04:25:00",10.62,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CHILDSF1,"2026/09/04 04:30:00",11.49,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CHILDSF1,"2026/09/04 04:35:00",5.28,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CHILDSF1,"2026/09/04 04:40:00",5.55,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CHILDSF1,"2026/09/04 04:45:00",13.69,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CHILDSF1,"2026/09/04 04:50:00",15.93,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CHILDSF1,"2026/09/04 04:55:00",16.18,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLARESF1,"2026/09/04 04:00:00",-58.81,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLARESF1,"2026/09/04 04:05:00",-27.52,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLARESF1,"2026/09/04 04:10:00",-20.28,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLARESF1,"2026/09/04 04:15:00",-21.62,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLARESF1,"2026/09/04 04:20:00",-20.53,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLARESF1,"2026/09/04 04:25:00",-20.88,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLARESF1,"2026/09/04 04:30:00",-22.58,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLARESF1,"2026/09/04 04:35:00",-10.38,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLARESF1,"2026/09/04 04:40:00",-10.91,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLARESF1,"2026/09/04 04:45:00",-26.9,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLARESF1,"2026/09/04 04:50:00",-31.29,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLARESF1,"2026/09/04 04:55:00",-31.79,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLERMSF1,"2026/09/04 04:00:00",-57.93,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLERMSF1,"2026/09/04 04:05:00",-27.11,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLERMSF1,"2026/09/04 04:10:00",-19.98,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLERMSF1,"2026/09/04 04:15:00",-21.3,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLERMSF1,"2026/09/04 04:20:00",-20.22,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLERMSF1,"2026/09/04 04:25:00",-20.56,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLERMSF1,"2026/09/04 04:30:00",-22.24,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLERMSF1,"2026/09/04 04:35:00",-10.23,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLERMSF1,"2026/09/04 04:40:00",-10.75,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLERMSF1,"2026/09/04 04:45:00",-26.5,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLERMSF1,"2026/09/04 04:50:00",-30.83,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLERMSF1,"2026/09/04 04:55:00",-31.32,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLRKCWF1,"2026/09/04 04:00:00",-58.72,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLRKCWF1,"2026/09/04 04:05:00",-27.48,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLRKCWF1,"2026/09/04 04:10:00",-20.25,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLRKCWF1,"2026/09/04 04:15:00",-21.59,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLRKCWF1,"2026/09/04 04:20:00",-20.5,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLRKCWF1,"2026/09/04 04:25:00",-20.84,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLRKCWF1,"2026/09/04 04:30:00",-22.54,1,"2026/09/04 03:55:31"
D,P5MIN,LOCAL_PRICE,1,"2026/09/04 04:00:00",CLRKCWF1,"2026/09/04 04:35:00",-10.37,1,"2026/09/04 03:55:31"
