C,NEMP.WORLD,DISPATCHIS,AEMO,PUBLIC,2026/09/04,03:50:08,0000000535967869,DISPATCHIS,0000000535967868
I,DISPATCH,CASE_SOLUTION,2,SETTLEMENTDATE,RUNNO,INTERVENTION,CASESUBTYPE,SOLUTIONSTATUS,SPDVERSION,NONPHYSICALLOSSES,TOTALOBJECTIVE,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,TOTALENERGYOFFERVIOLATION,LASTCHANGED,SWITCHRUNINITIALSTATUS,SWITCHRUNBESTSTATUS,SWITCHRUNBESTSTATUS_INT
D,DISPATCH,CASE_SOLUTION,2,"2026/09/04 03:55:00",1,0,,1,,0,-51665408.0550,0,0,0,0,0.28,,,,,0,0,0,"2026/09/04 03:50:03",1,1,
I,DISPATCH,LOCAL_PRICE,1,SETTLEMENTDATE,DUID,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED
I,DISPATCH,REGIONSUM,9,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGEGATEDISPATCHERROR,AGGREGATEDISPATCHERROR,LASTCHANGED,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECACTUALAVAILABILITY,RAISE60SECACTUALAVAILABILITY,RAISE5MINACTUALAVAILABILITY,RAISEREGACTUALAVAILABILITY,LOWER6SECACTUALAVAILABILITY,LOWER60SECACTUALAVAILABILITY,LOWER5MINACTUALAVAILABILITY,LOWERREGACTUALAVAILABILITY,LORSURPLUS,LRCSURPLUS,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF,SEMISCHEDULE_CLEAREDMW,SEMISCHEDULE_COMPLIANCEMW,SS_SOLAR_UIGF,SS_WIND_UIGF,SS_SOLAR_CLEAREDMW,SS_WIND_CLEAREDMW,SS_SOLAR_COMPLIANCEMW,SS_WIND_COMPLIANCEMW,WDR_INITIALMW,WDR_AVAILABLE,WDR_DISPATCHED,RAISE1SECLOCALDISPATCH,LOWER1SECLOCALDISPATCH,RAISE1SECACTUALAVAILABILITY,LOWER1SECACTUALAVAILABILITY,SS_SOLAR_AVAILABILITY,SS_WIND_AVAILABILITY,BDU_ENERGY_STORAGE,BDU_MIN_AVAIL,BDU_MAX_AVAIL,BDU_CLEAREDMW_GEN,BDU_CLEAREDMW_LOAD,BDU_INITIAL_ENERGY_STORAGE
D,DISPATCH,REGIONSUM,9,"2026/09/04 03:55:00",1,NSW1,20260903287,0,6718.05,11246.35224,2560,7,5455.26,4,-1266.79,0,,,68,,,,,,,,68,,,,,,,,78,,,,,,,,73.02,,,,,,,,62.02,,,,,,,,62.02,,,,,,,0,"2026/09/04 03:50:03",6770.44611,6768.52,,0,,,,7,,,,,,,,,,,,,,,,,,,664.023870,736.023870,965.023870,480.200944,902,1023,934,680.332374,,,146.34741,6914.867410,370.35224,370.35224,0,0,370.35224,0,370.35224,0,0,0,0,0,52,0,562,592,0,370.35224,1026.484550,2560,1579,37.822210,4,1029.741410
D,DISPATCH,REGIONSUM,9,"2026/09/04 03:55:00",1,QLD1,20260903287,0,5493.34,10352.567,2459,11,6733.37,97,1143.03,0,,,83.57,,,,,,,,102,,,,,,,,45,,,,,,,,115,,,,,,,,201.85,,,,,,,,256,,,,,,,10.30198,"2026/09/04 03:50:03",5619.6731,5644.75,,84,,,,66,,,,,,,,,,,,,,,,,,,1105.303444,1146.302218,960.461533,1388.017329,1448,1615,1397,1780.425520,,,98.87,5743.62,1007.567,1007.567,534.655,0,1007.567,0,1007.567,0,534.655,0,0,0,76,0,955,1189,0,1007.567,744.4232,2459,1625,0,97,738.1861
D,DISPATCH,REGIONSUM,9,"2026/09/04 03:55:00",1,SA1,20260903287,0,1268.79,2625.07981,926,-2,1126.52,20,-162.27,0,,,102,,,,,,,,147,,,,,,,,183,,,,,,,,102,,,,,,,,134,,,,,,,,131,,,,,,,0,"2026/09/04 03:50:03",1295.05029,1290.77,,61,,,,10,,,,,,,,,,,,,,,,,,,349,365,345,296,462,501,482,682,,,0,1290.77,698.07981,698.07981,287.65497,0,698.07981,0,698.07981,0,287.65497,0,0,0,117,4,309,412,0,698.07981,246.541550,926,456,0,20,244.814090
D,DISPATCH,REGIONSUM,9,"2026/09/04 03:55:00",1,TAS1,20260903287,0,960.17,1878.73482,0,0,1281.44,0,321.27,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,5.78156,"2026/09/04 03:50:03",954.38477,960.17,,50,,,,50,,,,,,,,,,,,,,,,,,,231.516663,244.514903,224.043660,210.293660,173.269839,354.029969,710.001315,653.706340,,,142.15178,1102.321780,371.73482,371.73482,84.506,0,371.73482,0,371.73482,0,84.506,0,0,0,0,0,39,0,0,371.73482,,,,,,
D,DISPATCH,REGIONSUM,9,"2026/09/04 03:55:00",1,VIC1,20260903287,0,4939.06,9283.4342,1934,7,5286.43,256,91.38,0,,,88,,,,,,,,170.1,,,,,,,,89,,,,,,,,161.32,,,,,,,,209,,,,,,,,157.85,,,,,,,6.07531,"2026/09/04 03:50:03",5191.7525,5218.82,,15,,,,87,,,,,,,,,,,,,,,,,,,1197,1203,1183,1188.923380,969,990,1000,1145.743010,,,55.77886,5274.598860,1375.4342,1375.4342,0,0,1375.4342,0,1375.4342,0,0,0,0,0,151.08,35.35,705,744,0,1375.4342,651.061130,1934,1316,0,256,633.292790
I,DISPATCH,INTERCONNECTORRES,3,SETTLEMENTDATE,RUNNO,INTERCONNECTORID,DISPATCHINTERVAL,INTERVENTION,METEREDMWFLOW,MWFLOW,MWLOSSES,MARGINALVALUE,VIOLATIONDEGREE,LASTCHANGED,EXPORTLIMIT,IMPORTLIMIT,MARGINALLOSS,EXPORTGENCONID,IMPORTGENCONID,FCASEXPORTLIMIT,FCASIMPORTLIMIT,LOCAL_PRICE_ADJUSTMENT_EXPORT,LOCALLY_CONSTRAINED_EXPORT,LOCAL_PRICE_ADJUSTMENT_IMPORT,LOCALLY_CONSTRAINED_IMPORT
D,DISPATCH,INTERCONNECTORRES,3,"2026/09/04 03:55:00",1,N-Q-MNSP1,20260903287,0,-50.19922,-49,4.46807,0,0,"2026/09/04 03:50:03",29.80078,-130.19922,0.83836,NQTE_ROC,QNTE_ROC,29.80078,-130.19922,0,0,0,0
D,DISPATCH,INTERCONNECTORRES,3,"2026/09/04 03:55:00",1,NSW1-QLD1,20260903287,0,-1104.78125,-1039.62387,93.1624,0,0,"2026/09/04 03:50:03",716.97079,-1134,0.82779,N::Q_BWMP_LDTW,F_Q++NIL_R6,2204,-2478,0,0,0,0
D,DISPATCH,INTERCONNECTORRES,3,"2026/09/04 03:55:00",1,T-V-MNSP1,20260903287,0,317.39844,321.27483,16.263,0,0,"2026/09/04 03:50:03",363.7,193.99922,1.08895,T^V_NIL_9,F_T++NIL_MRWF_TG_R6,630,-478,0,0,0,0
